Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs
UmTi,10,5,5,50%,2.4,2.4,6.6,3.75,197.9,5.97,11.2,339,11.3k,341.2,69.20%,18.50%,18.50%,6,
Yeon,10,5,5,50%,3.8,1.8,5,4.89,330.4,9.97,14.7,445,24.4k,735.7,67.70%,29.20%,24.30%,5,
369,8,4,4,50%,2.5,2.38,4.88,3.11,250.13,7.67,12.2,375,16.7k,512.9,61.50%,20.80%,21.10%,5,
Creme,8,4,4,50%,3.13,2.38,5.38,3.58,267.13,8.19,12.7,390,22.2k,681.9,70.80%,26%,22%,5,
JackeyLove,8,4,4,50%,4,2.63,5,3.43,316.63,9.71,14.3,439,19.9k,609.1,75%,33.30%,24.70%,6,
Meiko,8,4,4,50%,0.38,3.13,9.38,3.12,38.63,1.18,7.8,240,5.3k,161.2,81.30%,3.10%,13.50%,3,
Tian,8,4,4,50%,2,2.25,7.88,4.39,196.38,6.02,10.8,331,10k,308,82.30%,16.70%,18.70%,5,
Breathe,13,8,5,61.50%,4.38,2.38,5.31,4.06,297.69,8.3,15.5,433,19.9k,553.3,63.30%,28.60%,23.50%,5,
Crisp,13,8,5,61.50%,0.46,3.15,11.31,3.73,41.54,1.16,8.7,243,5.8k,162.1,76.90%,3%,13.20%,7,
Light,13,8,5,61.50%,4.92,1.77,5.69,6,351.15,9.79,16,447,22.6k,631,69.30%,32.20%,24.20%,7,
Tarzan,13,8,5,61.50%,1.69,3.38,10.08,3.48,187.92,5.24,11.3,314,12.1k,337.4,76.90%,11.10%,17%,8,
Xiaohu,13,8,5,61.50%,3.85,1.92,8.08,6.2,303.08,8.45,14.7,410,23.1k,643.5,77.90%,25.10%,22.20%,6,
